Time, x, y, z,,,,,,,,,,,
9.644888954,-4.443,-5.209,0.919,47.718491,-2.892142807,STABLE,,,,,,,,
9.934574919,-4.443,-5.209,0.919,47.718491,-2.892142807,STABLE,,,,,,,,
9.958143787,-4.443,-5.209,0.919,47.718491,-2.892142807,STABLE,,,,,,,,
9.984215813,-4.443,-5.209,0.919,47.718491,-2.892142807,STABLE,,,,,,,,
10.00767787,-4.443,-5.209,0.919,47.718491,-2.892142807,STABLE,,,,,,,,
10.02614577,-4.443,-5.209,0.919,47.718491,-2.892142807,STABLE,,,,,,,,
10.05303677,-4.443,-5.209,0.919,47.718491,-2.892142807,STABLE,,,,,,,,
10.08640893,-4.443,-5.209,0.919,47.718491,-2.892142807,STABLE,,,,,,,,
10.1119078,2.451,-10.419,-0.766,115.149718,0.930783662,CHANGE,,,,,,,,
10.13845094,2.451,-10.419,-0.766,115.149718,0.930783662,STABLE,,,,,,,,
10.18057878,2.451,-10.419,-0.766,115.149718,0.930783662,STABLE,,,,,,,,
10.20846279,2.451,-10.419,-0.766,115.149718,0.930783662,STABLE,,,,,,,,
10.22948177,2.451,-10.419,-0.766,115.149718,0.930783662,STABLE,,,,,,,,
10.25585492,2.451,-10.419,-0.766,115.149718,0.930783662,STABLE,,,,,,,,
10.28450282,2.451,-10.419,-0.766,115.149718,0.930783662,STABLE,,,,,,,,
10.2997628,2.451,-10.419,-0.766,115.149718,0.930783662,STABLE,,,,,,,,
10.30949982,2.451,-10.419,-0.766,115.149718,0.930783662,STABLE,,,,,,,,
10.33210285,2.451,-10.419,-0.766,115.149718,0.930783662,STABLE,,,,,,,,
10.3634208,2.451,-10.419,-0.766,115.149718,0.930783662,STABLE,,,,,,,,
10.39666875,2.451,-10.419,-0.766,115.149718,0.930783662,STABLE,,,,,,,,
10.42634089,2.451,-10.419,-0.766,115.149718,0.930783662,STABLE,,,,,,,,
10.69415887,2.451,-10.419,-0.766,115.149718,0.930783662,STABLE,,,,,,,,
10.72064288,1.532,-12.258,-0.612,152.980132,2.568513734,CHANGE,,,,,,,,
10.74282892,1.532,-12.258,-0.612,152.980132,2.568513734,STABLE,,,,,,,,
10.76510985,1.532,-12.258,-0.612,152.980132,2.568513734,STABLE,,,,,,,,
